AAR,BYDEL,ALDER,STATKODE,PERSONER
2015,1,33,5314,4
2015,1,33,5316,1
2015,1,33,5328,1
2015,1,33,5366,3
2015,1,33,5390,17
2015,1,33,5392,1
2015,1,33,5410,1
2015,1,33,5416,1
2015,1,33,5432,2
2015,1,33,5438,1
2015,1,33,5444,2
2015,1,33,5448,5
2015,1,33,5464,1
2015,1,33,5474,5
2015,1,33,5486,1
2015,1,33,5502,7
2015,1,33,5609,2
2015,1,33,5611,2
2015,1,33,5700,2
2015,1,33,5704,4
2015,1,33,5706,1
2015,1,33,5750,1
2015,1,33,5752,1
2015,1,33,5776,1
2015,1,34,5100,704
2015,1,34,5104,8
2015,1,34,5106,2
2015,1,34,5110,16
2015,1,34,5120,18
2015,1,34,5122,2
2015,1,34,5126,2
2015,1,34,5128,3
2015,1,34,5130,6
2015,1,34,5134,5
2015,1,34,5140,4
2015,1,34,5142,6
2015,1,34,5150,11
2015,1,34,5154,4
2015,1,34,5156,3
2015,1,34,5158,3
2015,1,34,5164,10
2015,1,34,5170,18
2015,1,34,5172,5
2015,1,34,5174,2
2015,1,34,5180,17
2015,1,34,5182,1
2015,1,34,5240,1
2015,1,34,5244,2
2015,1,34,5246,1
2015,1,34,5262,1
2015,1,34,5272,1
2015,1,34,5279,1
2015,1,34,5288,1
2015,1,34,5302,2
2015,1,34,5306,1
2015,1,34,5314,3
2015,1,34,5316,1
2015,1,34,5354,1
2015,1,34,5356,1
2015,1,34,5390,11
2015,1,34,5422,1
2015,1,34,5432,7
2015,1,34,5444,2
2015,1,34,5448,10
2015,1,34,5458,2
2015,1,34,5462,1
2015,1,34,5474,3
2015,1,34,5488,1
2015,1,34,5492,4
2015,1,34,5502,8
2015,1,34,5607,2
2015,1,34,5609,1
2015,1,34,5611,1
2015,1,34,5700,4
2015,1,34,5704,3
2015,1,34,5712,1
2015,1,34,5714,2
2015,1,34,5716,1
2015,1,34,5754,2
2015,1,34,5756,1
2015,1,35,5100,642
2015,1,35,5104,9
2015,1,35,5106,4
2015,1,35,5110,7
2015,1,35,5120,18
2015,1,35,5126,3
2015,1,35,5130,9
2015,1,35,5134,3
2015,1,35,5140,6
2015,1,35,5142,3
2015,1,35,5150,18
2015,1,35,5154,4
2015,1,35,5156,4
2015,1,35,5158,4
2015,1,35,5164,13
2015,1,35,5170,21
2015,1,35,5172,2
2015,1,35,5174,2
2015,1,35,5180,13
2015,1,35,5182,1
2015,1,35,5244,1
2015,1,35,5262,2
2015,1,35,5272,1
2015,1,35,5289,1
2015,1,35,5304,1
2015,1,35,5306,3
2015,1,35,5314,3
2015,1,35,5318,1
2015,1,35,5338,1
2015,1,35,5354,2
2015,1,35,5390,13
2015,1,35,5392,1
2015,1,35,5410,1
2015,1,35,5432,8
2015,1,35,5438,2
2015,1,35,5444,2
2015,1,35,5448,5
2015,1,35,5456,1
2015,1,35,5474,2
2015,1,35,5488,1
2015,1,35,5492,5
2015,1,35,5502,5
2015,1,35,5607,2
2015,1,35,5611,3
2015,1,35,5700,2
2015,1,35,5704,1
2015,1,35,5724,1
2015,1,35,5778,1
2015,1,36,5100,665
2015,1,36,5104,5
2015,1,36,5106,2
2015,1,36,5110,6
2015,1,36,5120,18
2015,1,36,5128,1
2015,1,36,5130,9
2015,1,36,5134,3
2015,1,36,5140,6
2015,1,36,5142,1
2015,1,36,5150,9
2015,1,36,5154,8
2015,1,36,5156,2
2015,1,36,5158,6
2015,1,36,5164,9
2015,1,36,5170,19
2015,1,36,5172,2
2015,1,36,5174,2
2015,1,36,5180,13
2015,1,36,5182,3
2015,1,36,5228,1
2015,1,36,5262,1
2015,1,36,5272,2
2015,1,36,5288,1
2015,1,36,5289,1
2015,1,36,5306,2
2015,1,36,5316,1
2015,1,36,5318,4
2015,1,36,5328,2
2015,1,36,5338,1
2015,1,36,5366,1
2015,1,36,5390,6
2015,1,36,5432,9
2015,1,36,5434,1
2015,1,36,5438,3
2015,1,36,5444,2
2015,1,36,5448,7
2015,1,36,5464,1
2015,1,36,5472,1
2015,1,36,5474,1
2015,1,36,5492,5
2015,1,36,5502,2
2015,1,36,5514,2
